title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year
#Alive,7.2,1954,6300000,13416285,tt10620868,614696,"['Action', 'Horror', 'Science Fiction']",2020
10 Cloverfield Lane,7.0,8355,15000000,110216998,tt1179933,333371,"['Thriller', 'Science Fiction', 'Drama', 'Horror']",2016
12 Strong,6.346,3095,35000000,67450815,tt1413492,429351,"['War', 'Drama', 'Action', 'History']",2018
13 Hours: The Secret Soldiers of Benghazi,7.269,3789,50000000,69411370,tt4172430,300671,"['War', 'Action', 'History', 'Drama', 'Thriller']",2016
1917,7.986,13085,100000000,446064352,tt8579674,530915,"['War', 'History', 'Drama', 'Action']",2019
1922,5.935,2836,5000000,2943477,tt6214928,452507,"['Horror', 'Crime', 'Drama']",2017
365 Days,7.009,9338,0,9458590,tt10886166,664413,"['Romance', 'Drama']",2020
365 Days: This Day,5.93,1783,0,0,tt12996154,829557,"['Romance', 'Drama']",2022
47 Meters Down,5.808,2788,5500000,62198461,tt2932536,403119,"['Horror', 'Thriller']",2017
6 Underground,6.34,4986,150000000,0,tt8106534,509967,"['Action', 'Comedy', 'Thriller']",2019
65,5.965,2677,45000000,60730568,tt12261776,700391,"['Action', 'Adventure', 'Science Fiction']",2023
A Complete Unknown,7.114,1247,65000000,138003641,tt11563598,661539,"['Drama', 'Music']",2024
A Cure for Wellness,6.341,4042,40000000,26620002,tt4731136,340837,"['Horror', 'Mystery', 'Science Fiction']",2017
A Dog's Purpose,7.639,3449,22000000,205000000,tt1753383,381289,"['Adventure', 'Comedy', 'Fantasy', 'Family', 'Drama']",2017
A Haunting in Venice,6.585,2640,60000000,121400000,tt22687790,945729,"['Mystery', 'Thriller', 'Crime']",2023
A Man Called Otto,7.754,3292,50000000,108961677,tt7405458,937278,"['Comedy', 'Drama']",2022
A Monster Calls,7.287,3471,43000000,47309313,tt3416532,258230,"['Fantasy', 'Adventure', 'Family']",2016
A Quiet Place,7.396,14881,17000000,340955294,tt6644200,447332,"['Horror', 'Drama', 'Science Fiction']",2018
A Quiet Place Part II,7.452,7064,55000000,297372261,tt8332922,520763,"['Science Fiction', 'Thriller', 'Horror']",2021
A Quiet Place: Day One,6.685,3016,67000000,261907653,tt13433802,762441,"['Horror', 'Science Fiction', 'Thriller']",2024
A Rainy Day in New York,6.486,2319,25000000,23805899,tt7139936,475303,"['Comedy', 'Romance']",2019
A Real Pain,6.76,1200,3000000,24856027,tt21823606,1013850,"['Comedy', 'Drama']",2024
A Silent Voice: The Movie,8.4,4266,0,30819442,tt5323662,378064,"['Animation', 'Drama', 'Romance']",2016
A Simple Favor,6.638,4457,20000000,97644617,tt7040874,484247,"['Thriller', 'Comedy', 'Mystery']",2018
A Star Is Born,7.496,11994,36000000,436388866,tt1517451,332562,"['Music', 'Drama', 'Romance']",2018
A Whisker Away,7.882,1449,0,0,tt11958344,667520,"['Animation', 'Drama', 'Romance', 'Fantasy']",2020
Abigail,6.7,1774,28000000,43015969,tt27489557,1111873,"['Horror', 'Thriller', 'Crime', 'Action', 'Comedy']",2024
Ad Astra,6.121,6962,87500000,127461872,tt2935510,419704,"['Science Fiction', 'Drama']",2019
Adrift,6.838,2649,35000000,59945012,tt6306064,429300,"['Thriller', 'Romance', 'Adventure']",2018
After,7.115,8434,14000000,69497587,tt4126476,537915,"['Romance', 'Drama']",2019
After Ever Happy,6.79,1325,14000000,19238073,tt13070038,744276,"['Romance', 'Drama']",2022
