Year,Film,Winner
1927,Wings,Yes
1927,7th Heaven,No
1927,The Racket,No
1928,The Broadway Melody,Yes
1928,Alibi,No
1928,The Hollywood Revue,No
1928,In Old Arizona,No
1928,The Patriot,No
1929,All Quiet on the Western Front,Yes
1929,The Big House,No
1929,Disraeli,No
1929,The Divorcee,No
1929,The Love Parade,No
1930,Cimarron,Yes
1930,East Lynne,No
1930,The Front Page,No
1930,Skippy,No
1930,Trader Horn,No
1931,Grand Hotel,Yes
1931,Arrowsmith,No
1931,Bad Girl,No
1931,The Champ,No
1931,Five Star Final,No
1931,One Hour with You,No
1931,Shanghai Express,No
1931,The Smiling Lieutenant,No
1932,Cavalcade,Yes
1932,42nd Street,No
1932,A Farewell to Arms,No
1932,I Am a Fugitive from a Chain Gang,No
1932,Lady for a Day,No
1932,Little Women,No
1932,The Private Life of Henry VIII,No
1932,She Done Him Wrong,No
1932,Smilin' Through,No
1932,State Fair,No
1934,It Happened One Night,Yes
1934,The Barretts of Wimpole Street,No
1934,Cleopatra,No
1934,Flirtation Walk,No
1934,The Gay Divorcee,No
1934,Here Comes the Navy,No
1934,The House of Rothschild,No
1934,Imitation of Life,No
1934,One Night of Love,No
1934,The Thin Man,No
1934,Viva Villa!,No
1934,The White Parade,No
1935,Mutiny on the Bounty,Yes
1935,Alice Adams,No
1935,Broadway Melody of 1936,No
1935,Captain Blood,No
1935,David Copperfield,No
1935,The Informer,No
1935,The Lives of a Bengal Lancer,No
1935,A Midsummer Night's Dream,No
1935,Les Misérables,No
1935,Naughty Marietta,No
1935,Ruggles of Red Gap,No
1935,Top Hat,No
1936,The Great Ziegfeld,Yes
1936,Anthony Adverse,No
1936,Dodsworth,No
1936,Libeled Lady,No
1936,Mr. Deeds Goes to Town,No
1936,Romeo and Juliet,No
1936,San Francisco,No
1936,The Story of Louis Pasteur,No
1936,A Tale of Two Cities,No
1936,Three Smart Girls,No
1937,The Life of Emile Zola,Yes
1937,The Awful Truth,No
1937,Captains Courageous,No
1937,Dead End,No
1937,The Good Earth,No
1937,In Old Chicago,No
1937,Lost Horizon,No
1937,One Hundred Men and a Girl,No
1937,Stage Door,No
1937,A Star Is Born,No
1938,You Can't Take It with You,Yes
1938,The Adventures of Robin Hood,No
1938,Alexander's Ragtime Band,No
