,Year,Film Title,Winner
0,,"This article needs additional citations for verification. Please help improve this article by adding citations to reliable sources. Unsourced material may be challenged and removed.Find sources: ""Academy Award for Best Picture"" – news · newspapers · books · scholar · JSTOR (September 2023) (Learn how and when to remove this message)",Yes
1,Wings,"Famous Players–Lasky (Lucien Hubbard, Jesse L. Lasky, B. P. Schulberg, & Adolph Zukor, producers)",Yes
2,7th Heaven,"Fox (William Fox, producer)",Yes
3,The Racket,"The Caddo Company (Howard Hughes, producer)",Yes
4,The Broadway Melody,"Metro-Goldwyn-Mayer (Irving Thalberg & Lawrence Weingarten, producers)",Yes
5,Alibi,"Feature Productions (Roland West, producer)",Yes
6,The Hollywood Revue,"Metro-Goldwyn-Mayer (Irving Thalberg & Harry Rapf, producers)",Yes
7,In Old Arizona,"Fox (Winfield Sheehan, producer)",Yes
8,The Patriot,Paramount Famous Lasky,Yes
9,All Quiet on the Western Front,"Universal (Carl Laemmle Jr., producer)",Yes
10,The Big House,"Cosmopolitan (Irving Thalberg, producer)",Yes
11,Disraeli,"Warner Bros. (Jack L. Warner & Darryl F. Zanuck, producers)",Yes
12,The Divorcee,"Metro-Goldwyn-Mayer (Robert Z. Leonard, producer)",Yes
13,The Love Parade,"Paramount Famous Lasky (Ernst Lubitsch, producer)",Yes
14,Cimarron,"RKO Radio (William LeBaron, producer)",Yes
15,East Lynne,Fox,Yes
16,The Front Page,"The Caddo Company (Howard Hughes & Lewis Milestone, producers)",Yes
17,Skippy,"Paramount Publix (Jesse L. Lasky, B. P. Schulberg, & Adolph Zukor, producers)",Yes
18,Trader Horn,"Metro-Goldwyn-Mayer (Irving Thalberg, producer)",Yes
19,Grand Hotel,"Metro-Goldwyn-Mayer (Irving Thalberg, producer)",Yes
20,Arrowsmith,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",Yes
21,Bad Girl,Fox,Yes
22,The Champ,"Metro-Goldwyn-Mayer (King Vidor, producer)",Yes
23,Five Star Final,"First National (Hal B. Wallis, producer)",Yes
24,One Hour with You,"Paramount Publix (Ernst Lubitsch, producer)",Yes
25,Shanghai Express,"Paramount Publix (Adolph Zukor, producer)",Yes
26,The Smiling Lieutenant,"Paramount Publix (Ernst Lubitsch, producer)",Yes
27,Cavalcade,"Fox (Frank Lloyd & Winfield Sheehan, producers)",Yes
28,42nd Street,Warner Bros.,Yes
29,A Farewell to Arms,Paramount,Yes
30,I Am a Fugitive from a Chain Gang,Warner Bros.,Yes
31,Lady for a Day,Columbia,Yes
32,Little Women,RKO Radio,Yes
33,The Private Life of Henry VIII,London Films,Yes
34,She Done Him Wrong,Paramount,Yes
35,Smilin' Through,Metro-Goldwyn-Mayer,Yes
36,State Fair,Fox,Yes
37,It Happened One Night,"Columbia (Frank Capra & Harry Cohn, producer)",Yes
38,The Barretts of Wimpole Street,Metro-Goldwyn-Mayer,Yes
39,Cleopatra,Paramount,Yes
40,Flirtation Walk,First National,Yes
41,The Gay Divorcee,RKO Radio,Yes
42,Here Comes the Navy,Warner Bros.,Yes
43,The House of Rothschild,20th Century,Yes
44,Imitation of Life,Universal,Yes
45,One Night of Love,Columbia,Yes
46,The Thin Man,Metro-Goldwyn-Mayer,Yes
47,Viva Villa!,Metro-Goldwyn-Mayer,Yes
48,The White Parade,Jesse L. Lasky (production company),Yes
49,Mutiny on the Bounty,"Metro-Goldwyn-Mayer (Frank Lloyd & Irving Thalberg, producers)",Yes
50,Alice Adams,RKO Radio,Yes
51,Broadway Melody of 1936,Metro-Goldwyn-Mayer,Yes
52,Captain Blood,Cosmopolitan,Yes
53,David Copperfield,Metro-Goldwyn-Mayer,Yes
54,The Informer,RKO Radio,Yes
55,The Lives of a Bengal Lancer,Paramount,Yes
56,A Midsummer Night's Dream,Warner Bros.,Yes
57,Les Misérables,20th Century,Yes
58,Naughty Marietta,Metro-Goldwyn-Mayer,Yes
59,Ruggles of Red Gap,Paramount,Yes
60,Top Hat,RKO Radio,Yes
61,The Great Ziegfeld,"Metro-Goldwyn-Mayer (Hunt Stromberg, producer)",Yes
62,Anthony Adverse,Warner Bros.,Yes
63,Dodsworth,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",Yes
64,Libeled Lady,Metro-Goldwyn-Mayer,Yes
65,Mr. Deeds Goes to Town,Columbia,Yes
66,Romeo and Juliet,Metro-Goldwyn-Mayer,Yes
67,San Francisco,Metro-Goldwyn-Mayer,Yes
68,The Story of Louis Pasteur,Cosmopolitan,Yes
69,A Tale of Two Cities,Metro-Goldwyn-Mayer,Yes
70,Three Smart Girls,Universal,Yes
71,The Life of Emile Zola,"Warner Bros. (Henry Blanke, producer)",Yes
72,The Awful Truth,Columbia,Yes
73,Captains Courageous,Metro-Goldwyn-Mayer,Yes
74,Dead End,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",Yes
75,The Good Earth,Metro-Goldwyn-Mayer,Yes
76,In Old Chicago,20th Century-Fox,Yes
77,Lost Horizon,Columbia,Yes
78,One Hundred Men and a Girl,Universal,Yes
79,Stage Door,RKO Radio,Yes
80,A Star Is Born,Selznick International Pictures,Yes
81,You Can't Take It with You,"Columbia (Frank Capra, producer)",Yes
82,The Adventures of Robin Hood,Warner Bros.-First National,Yes
83,Alexander's Ragtime Band,20th Century-Fox,Yes
84,Boys Town,Metro-Goldwyn-Mayer,Yes
85,The Citadel,Metro-Goldwyn-Mayer,Yes
86,Four Daughters,Warner Bros.-First National,Yes
87,Grand Illusion,Réalisation d'art Cinématographique,Yes
88,Jezebel,Warner Bros.,Yes
89,Pygmalion,Metro-Goldwyn-Mayer,Yes
90,Test Pilot,Metro-Goldwyn-Mayer,Yes
91,Gone with the Wind,"Selznick International Pictures (David O. Selznick, producer)",Yes
92,Dark Victory,Warner Bros.-First National,Yes
93,"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer,Yes
94,Love Affair,RKO Radio,Yes
95,Mr. Smith Goes to Washington,Columbia,Yes
96,Ninotchka,Metro-Goldwyn-Mayer,Yes
97,Of Mice and Men,Hal Roach (production company),Yes
98,Stagecoach,Walter Wanger (production company),Yes
99,The Wizard of Oz,Metro-Goldwyn-Mayer,Yes
100,Wuthering Heights,Samuel Goldwyn Productions,Yes
101,Rebecca,"Selznick International Pictures (David O. Selznick, producer)",Yes
102,"All This, and Heaven Too",Warner Bros.,Yes
103,Foreign Correspondent,Walter Wanger (production company),Yes
104,The Grapes of Wrath,20th Century-Fox,Yes
105,The Great Dictator,Charles Chaplin Productions,Yes
106,Kitty Foyle,RKO Radio,Yes
107,The Letter,Warner Bros.,Yes
108,The Long Voyage Home,Argosy-Wanger,Yes
109,Our Town,Sol Lesser (production company),Yes
110,The Philadelphia Story,Metro-Goldwyn-Mayer,Yes
111,How Green Was My Valley,"20th Century-Fox (Darryl F. Zanuck, producer)",Yes
112,Blossoms in the Dust,Metro-Goldwyn-Mayer,Yes
113,Citizen Kane,Mercury,Yes
114,Here Comes Mr. Jordan,Columbia,Yes
115,Hold Back the Dawn,Paramount,Yes
116,The Little Foxes,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",Yes
117,The Maltese Falcon,Warner Bros.,Yes
118,One Foot in Heaven,Warner Bros.,Yes
119,Sergeant York,Warner Bros.,Yes
120,Suspicion,RKO Radio,Yes
121,Mrs. Miniver,"Metro-Goldwyn-Mayer (Sidney Franklin, producer)",Yes
122,49th Parallel[83],Ortus,Yes
123,Kings Row,Warner Bros.,Yes
124,The Magnificent Ambersons,Mercury,Yes
125,The Pied Piper,20th Century-Fox,Yes
126,The Pride of the Yankees,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",Yes
127,Random Harvest,Metro-Goldwyn-Mayer,Yes
128,The Talk of the Town,Columbia,Yes
129,Wake Island,Paramount,Yes
130,Yankee Doodle Dandy,Warner Bros.,Yes
131,Casablanca,"Warner Bros. (Hal B. Wallis, producer)",Yes
132,For Whom the Bell Tolls,Paramount,Yes
133,Heaven Can Wait,20th Century-Fox,Yes
134,The Human Comedy,Metro-Goldwyn-Mayer,Yes
135,In Which We Serve,Two Cities Films,Yes
136,Madame Curie,Metro-Goldwyn-Mayer,Yes
137,The More the Merrier,Columbia,Yes
138,The Ox-Bow Incident,20th Century-Fox,Yes
139,The Song of Bernadette,20th Century-Fox,Yes
140,Watch on the Rhine,Warner Bros.,Yes
141,Going My Way,"Paramount (Leo McCarey, producer)",Yes
142,Double Indemnity,Paramount,Yes
143,Gaslight,Metro-Goldwyn-Mayer,Yes
144,Since You Went Away,"Selznick International Pictures (David O. Selznick, producer)",Yes
145,Wilson,20th Century-Fox,Yes
146,The Lost Weekend,"Paramount (Charles Brackett, producer)",Yes
147,Anchors Aweigh,Metro-Goldwyn-Mayer,Yes
148,The Bells of St. Mary's,Rainbow Productions,Yes
149,Mildred Pierce,Warner Bros.,Yes
150,Spellbound,"Selznick International Pictures (David O. Selznick, producer)",Yes
151,The Best Years of Our Lives,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",Yes
152,Henry V,Two Cities Films,Yes
153,It's a Wonderful Life,Liberty Films,Yes
154,The Razor's Edge,20th Century-Fox,Yes
155,The Yearling,Metro-Goldwyn-Mayer,Yes
156,Gentleman's Agreement,"20th Century-Fox (Darryl F. Zanuck, producer)",Yes
157,The Bishop's Wife,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",Yes
158,Crossfire,RKO Radio,Yes
