title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year,Winner,cpi_multiplier,budget_2024,revenue_2024
#Alive,7.227,1955,6300000,13416285,tt10620868,614696,"['Action', 'Horror', 'Science Fiction']",2020,No,1.21,7623000.0,16233704.85
10 Cloverfield Lane,6.994,8359,15000000,110216998,tt1179933,333371,"['Thriller', 'Science Fiction', 'Drama', 'Horror']",2016,No,1.31,19650000.0,144384267.38
12 Strong,6.3,3096,35000000,67450815,tt1413492,429351,"['War', 'Drama', 'Action', 'History']",2018,No,1.25,43750000.0,84313518.75
13 Hours: The Secret Soldiers of Benghazi,7.269,3789,50000000,69411370,tt4172430,300671,"['War', 'Action', 'History', 'Drama', 'Thriller']",2016,No,1.31,65500000.0,90928894.7
1917,7.986,13091,100000000,446064352,tt8579674,530915,"['War', 'History', 'Drama', 'Action']",2019,No,1.23,123000000.0,548659152.96
1922,5.937,2838,5000000,2943477,tt6214928,452507,"['Horror', 'Crime', 'Drama']",2017,No,1.28,6400000.0,3767650.56
365 Days,7.009,9340,0,9458590,tt10886166,664413,"['Romance', 'Drama']",2020,No,1.21,0.0,11444893.9
365 Days: This Day,5.93,1783,0,0,tt12996154,829557,"['Romance', 'Drama']",2022,No,1.07,0.0,0.0
47 Meters Down,5.808,2789,5500000,62198461,tt2932536,403119,"['Horror', 'Thriller']",2017,No,1.28,7040000.0,79614030.08
6 Underground,6.34,4988,150000000,0,tt8106534,509967,"['Action', 'Comedy', 'Thriller']",2019,No,1.23,184500000.0,0.0
65,5.964,2679,45000000,60730568,tt12261776,700391,"['Action', 'Adventure', 'Science Fiction']",2023,No,1.03,46350000.0,62552485.04
A Complete Unknown,7.111,1249,65000000,138003641,tt11563598,661539,"['Drama', 'Music']",2024,No,1.0,65000000.0,138003641.0
A Cure for Wellness,6.34,4044,40000000,26620002,tt4731136,340837,"['Horror', 'Mystery', 'Science Fiction']",2017,No,1.28,51200000.0,34073602.56
A Dog's Purpose,7.639,3448,22000000,205000000,tt1753383,381289,"['Adventure', 'Comedy', 'Fantasy', 'Family', 'Drama']",2017,No,1.28,28160000.0,262400000.0
A Haunting in Venice,6.585,2642,60000000,121400000,tt22687790,945729,"['Mystery', 'Thriller', 'Crime']",2023,No,1.03,61800000.0,125042000.0
A Man Called Otto,7.754,3292,50000000,108961677,tt7405458,937278,"['Comedy', 'Drama']",2022,No,1.07,53500000.0,116588994.39
A Monster Calls,7.286,3473,43000000,47309313,tt3416532,258230,"['Fantasy', 'Adventure', 'Family']",2016,No,1.31,56330000.0,61975200.03
A Quiet Place,7.396,14890,17000000,340955294,tt6644200,447332,"['Horror', 'Drama', 'Science Fiction']",2018,No,1.25,21250000.0,426194117.5
A Quiet Place Part II,7.451,7073,55000000,297372261,tt8332922,520763,"['Science Fiction', 'Thriller', 'Horror']",2021,No,1.16,63799999.99999999,344951822.76
A Quiet Place: Day One,6.684,3018,67000000,261907653,tt13433802,762441,"['Horror', 'Science Fiction', 'Thriller']",2024,No,1.0,67000000.0,261907653.0
A Rainy Day in New York,6.486,2320,25000000,23805899,tt7139936,475303,"['Comedy', 'Romance']",2019,No,1.23,30750000.0,29281255.77
A Real Pain,6.76,1203,3000000,24856027,tt21823606,1013850,"['Comedy', 'Drama']",2024,No,1.0,3000000.0,24856027.0
A Silent Voice: The Movie,8.386,4268,0,30819442,tt5323662,378064,"['Animation', 'Drama', 'Romance']",2016,No,1.31,0.0,40373469.02
A Simple Favor,6.638,4458,20000000,97644617,tt7040874,484247,"['Thriller', 'Comedy', 'Mystery']",2018,No,1.25,25000000.0,122055771.25
A Star Is Born,7.5,11994,36000000,436388866,tt1517451,332562,"['Music', 'Drama', 'Romance']",2018,No,1.25,45000000.0,545486082.5
A Whisker Away,7.881,1449,0,0,tt11958344,667520,"['Animation', 'Drama', 'Romance', 'Fantasy']",2020,No,1.21,0.0,0.0
Abigail,6.7,1776,28000000,43015969,tt27489557,1111873,"['Horror', 'Thriller', 'Crime', 'Action', 'Comedy']",2024,No,1.0,28000000.0,43015969.0
Ad Astra,6.1,6966,87500000,127461872,tt2935510,419704,"['Science Fiction', 'Drama']",2019,No,1.23,107625000.0,156778102.56
Adrift,6.838,2649,35000000,59945012,tt6306064,429300,"['Thriller', 'Romance', 'Adventure']",2018,No,1.25,43750000.0,74931265.0
