title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year,Winner,cpi_multiplier,budget_2024,revenue_2024
#Alive,7.227,1955,6300000,13416285,tt10620868,614696,Action,2020,No,1.21,7623000.0,16233704.85
#Alive,7.227,1955,6300000,13416285,tt10620868,614696,Horror,2020,No,1.21,7623000.0,16233704.85
#Alive,7.227,1955,6300000,13416285,tt10620868,614696,Science Fiction,2020,No,1.21,7623000.0,16233704.85
10 Cloverfield Lane,6.994,8359,15000000,110216998,tt1179933,333371,Thriller,2016,No,1.31,19650000.0,144384267.38
10 Cloverfield Lane,6.994,8359,15000000,110216998,tt1179933,333371,Science Fiction,2016,No,1.31,19650000.0,144384267.38
10 Cloverfield Lane,6.994,8359,15000000,110216998,tt1179933,333371,Drama,2016,No,1.31,19650000.0,144384267.38
10 Cloverfield Lane,6.994,8359,15000000,110216998,tt1179933,333371,Horror,2016,No,1.31,19650000.0,144384267.38
12 Strong,6.3,3096,35000000,67450815,tt1413492,429351,War,2018,No,1.25,43750000.0,84313518.75
12 Strong,6.3,3096,35000000,67450815,tt1413492,429351,Drama,2018,No,1.25,43750000.0,84313518.75
12 Strong,6.3,3096,35000000,67450815,tt1413492,429351,Action,2018,No,1.25,43750000.0,84313518.75
12 Strong,6.3,3096,35000000,67450815,tt1413492,429351,History,2018,No,1.25,43750000.0,84313518.75
13 Hours: The Secret Soldiers of Benghazi,7.269,3789,50000000,69411370,tt4172430,300671,War,2016,No,1.31,65500000.0,90928894.7
13 Hours: The Secret Soldiers of Benghazi,7.269,3789,50000000,69411370,tt4172430,300671,Action,2016,No,1.31,65500000.0,90928894.7
13 Hours: The Secret Soldiers of Benghazi,7.269,3789,50000000,69411370,tt4172430,300671,History,2016,No,1.31,65500000.0,90928894.7
13 Hours: The Secret Soldiers of Benghazi,7.269,3789,50000000,69411370,tt4172430,300671,Drama,2016,No,1.31,65500000.0,90928894.7
13 Hours: The Secret Soldiers of Benghazi,7.269,3789,50000000,69411370,tt4172430,300671,Thriller,2016,No,1.31,65500000.0,90928894.7
1917,7.986,13091,100000000,446064352,tt8579674,530915,War,2019,No,1.23,123000000.0,548659152.96
1917,7.986,13091,100000000,446064352,tt8579674,530915,History,2019,No,1.23,123000000.0,548659152.96
1917,7.986,13091,100000000,446064352,tt8579674,530915,Drama,2019,No,1.23,123000000.0,548659152.96
1917,7.986,13091,100000000,446064352,tt8579674,530915,Action,2019,No,1.23,123000000.0,548659152.96
1922,5.937,2838,5000000,2943477,tt6214928,452507,Horror,2017,No,1.28,6400000.0,3767650.56
1922,5.937,2838,5000000,2943477,tt6214928,452507,Crime,2017,No,1.28,6400000.0,3767650.56
1922,5.937,2838,5000000,2943477,tt6214928,452507,Drama,2017,No,1.28,6400000.0,3767650.56
365 Days,7.009,9340,0,9458590,tt10886166,664413,Romance,2020,No,1.21,0.0,11444893.9
365 Days,7.009,9340,0,9458590,tt10886166,664413,Drama,2020,No,1.21,0.0,11444893.9
365 Days: This Day,5.93,1783,0,0,tt12996154,829557,Romance,2022,No,1.07,0.0,0.0
