title,genre_ids,vote_average,vote_count,release_year,id
We Live in Time,"[10749, 18]",7.259,1103,2024,1100099
No Way Up,"[53, 27, 28]",6.3,1072,2024,1096197
The Union,"[28, 35]",6.1,1058,2024,704239
Fly Me to the Moon,"[10749, 35]",6.806,1028,2024,956842
The Bikeriders,"[80, 18]",6.69,1003,2024,1008409
Babygirl,"[18, 10749]",5.739,1001,2024,1097549
Spaceman,"[878, 12, 18]",6.717,958,2024,636706
Upgraded,"[10749, 35]",7.186,947,2024,1014590
The Tearsmith,"[10749, 18]",6.5,918,2024,1127166
Beating Hearts,"[10749, 80, 18]",7.198,917,2024,959604
Megalopolis,"[878, 18]",5.2,902,2024,592831
Woman of the Hour,"[80, 18, 53]",6.4,900,2024,835113
Don't Move,"[27, 53]",6.335,899,2024,1063877
Bob Marley: One Love,"[10402, 36, 18]",6.647,899,2024,802219
Subservience,"[878, 27, 53]",6.6,890,2024,1064028
Miller's Girl,"[53, 18, 10749]",6.3,880,2024,1026436
I'm Still Here,"[18, 36]",7.939,862,2024,1000837
Love Lies Bleeding,"[80, 10749, 53, 18]",6.567,861,2024,948549
Arthur the King,"[12, 18]",7.577,855,2024,618588
Uglies,"[878, 12, 28]",5.753,853,2024,748167
The Watchers,"[14, 27, 9648]",6.376,1423,2024,1086747
The Brutalist,"[18, 36]",6.958,1400,2024,549509
Lift,"[28, 35, 80]",6.4,1370,2024,955916
Rebel Moon - Part Two: The Scargiver,"[878, 28, 12]",6.085,1361,2024,934632
Land of Bad,"[28, 10752, 53]",7.271,1360,2024,969492
The Garfield Movie,"[10751, 35, 12, 16]",7.028,1351,2024,748783
Under Paris,"[28, 27]",5.932,1347,2024,1001311
Borderlands,"[28, 878, 35]",5.616,1337,2024,365177
Beverly Hills Cop: Axel F,"[28, 35, 80]",6.7,1325,2024,280180
The Platform 2,"[878, 27, 53]",5.547,1313,2024,1125510
Tarot,[27],6.412,1294,2024,719221
MaXXXine,"[27, 53]",6.322,1289,2024,1023922
Wolfs,"[80, 35, 28]",6.546,1269,2024,877817
Monkey Man,"[28, 53]",6.879,1253,2024,560016
A Complete Unknown,"[18, 10402]",7.111,1249,2024,661539
A Real Pain,"[35, 18]",6.8,1203,2024,1013850
The First Omen,[27],6.85,1190,2024,437342
Apocalypse Z: The Beginning of the End,"[18, 28, 27]",6.723,1168,2024,1118031
The Crow,"[28, 14, 27]",5.816,1155,2024,957452
Kinds of Kindness,"[18, 35]",6.48,1123,2024,1029955
Ghostbusters: Frozen Empire,"[14, 12, 35]",6.482,1969,2024,967847
Smile 2,"[27, 9648]",6.594,1890,2024,1100782
Late Night with the Devil,[27],7.11,1865,2024,938614
Emilia Pérez,"[18, 53]",6.511,1835,2024,974950
The Count of Monte Cristo,"[12, 28, 18]",7.954,1819,2024,1084736
The Idea of You,"[10749, 18, 35]",7.333,1807,2024,843527
Terrifier 3,"[27, 53]",6.814,1799,2024,1034541
Speak No Evil,"[27, 53]",7.186,1789,2024,1114513
Abigail,"[27, 53, 80, 28, 35]",6.723,1777,2024,1111873
It Ends with Us,"[18, 10749]",6.971,1754,2024,1079091
Blink Twice,"[9648, 53]",6.681,1667,2024,840705
The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",7.034,1664,2024,799583
Argylle,"[28, 12, 35]",6.023,1595,2024,848538
Immaculate,"[27, 9648, 53]",6.224,1511,2024,1041613
Rebel Ridge,"[80, 28, 53]",6.997,1462,2024,646097
IF,"[35, 14, 10751]",7.018,1461,2024,639720
Your Fault,"[18, 10749]",7.132,1454,2024,1156593
Atlas,"[878, 28]",6.704,1454,2024,614933
Hit Man,"[35, 10749, 80]",6.794,1434,2024,974635
Transformers One,"[16, 878, 12, 10751]",8.023,1434,2024,698687
Despicable Me 4,"[10751, 35, 16, 878]",7.014,2971,2024,519182
