title,vote_average,vote_count,budget,revenue,imdb_id,genres,id
We Live in Time,7.259,1103,20000000,37182814,tt27131358,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",1100099
No Way Up,6.3,1072,0,0,tt16253418,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",1096197
The Union,6.1,1058,0,0,tt12610390,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",704239
Fly Me to the Moon,6.806,1028,100000000,42260534,tt1896747,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",956842
The Bikeriders,6.69,1003,40000000,36110860,tt21454134,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1008409
Babygirl,5.739,1001,20000000,60934894,tt30057084,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1097549
Spaceman,6.717,958,40000000,0,tt11097384,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",636706
Upgraded,7.186,947,0,0,tt21830902,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",1014590
The Tearsmith,6.5,918,7000000,0,tt29114029,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",1127166
Beating Hearts,7.198,917,37315205,36010728,tt27490099,"[{'id': 10749, 'name': 'Romance'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",959604
Megalopolis,5.2,902,120000000,14387154,tt10128846,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",592831
Woman of the Hour,6.4,900,836057,0,tt7737800,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",835113
Don't Move,6.335,899,0,0,tt24807110,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1063877
Bob Marley: One Love,6.647,899,70000000,180828556,tt8521778,"[{'id': 10402, 'name': 'Music'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",802219
Subservience,6.6,890,4400000,262793,tt24871974,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1064028
Miller's Girl,6.3,880,4000000,1430985,tt8310486,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1026436
I'm Still Here,7.939,862,1480000,36109482,tt14961016,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1000837
Love Lies Bleeding,6.567,861,10000000,12778225,tt19637052,"[{'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",948549
Arthur the King,7.577,855,19000000,40829138,tt10720352,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",618588
Uglies,5.753,853,0,0,tt13186604,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",748167
The Watchers,6.376,1423,30000000,51147812,tt26736843,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",1086747
The Brutalist,6.958,1400,9600000,50145227,tt8999762,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",549509
Lift,6.4,1370,0,0,tt14371878,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",955916
Rebel Moon - Part Two: The Scargiver,6.085,1361,83000000,0,tt23137904,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",934632
Land of Bad,7.271,1360,18000000,7021101,tt19864802,"[{'id': 28, 'name': 'Action'}, {'id': 10752, 'name': 'War'}, {'id': 53, 'name': 'Thriller'}]",969492
The Garfield Movie,7.028,1351,60000000,254907482,tt5779228,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}]",748783
Under Paris,5.932,1347,0,0,tt13964390,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]",1001311
Borderlands,5.617,1336,115000000,33017367,tt4978420,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",365177
Beverly Hills Cop: Axel F,6.7,1325,150000000,0,tt3083016,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",280180
The Platform 2,5.547,1313,0,0,tt27729779,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1125510
Tarot,6.412,1294,8000000,49256239,tt14088510,"[{'id': 27, 'name': 'Horror'}]",719221
MaXXXine,6.322,1289,10000000,22057161,tt22048412,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1023922
Wolfs,6.546,1269,80000000,0,tt14257582,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",877817
Monkey Man,6.879,1253,10000000,35271631,tt9214772,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",560016
A Complete Unknown,7.111,1249,65000000,138003641,tt11563598,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",661539
A Real Pain,6.76,1203,3000000,24856027,tt21823606,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1013850
The First Omen,6.85,1190,30000000,53992802,tt5672290,"[{'id': 27, 'name': 'Horror'}]",437342
Apocalypse Z: The Beginning of the End,6.723,1168,0,500000,tt27599851,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]",1118031
The Crow,5.817,1154,50000000,24109036,tt1340094,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",957452
Kinds of Kindness,6.48,1123,15000000,16398509,tt22408160,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1029955
Ghostbusters: Frozen Empire,6.482,1969,100000000,201967521,tt21235248,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",967847
Smile 2,6.594,1890,28000000,138128854,tt29268110,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",1100782
Late Night with the Devil,7.11,1865,2000000,15469415,tt14966898,"[{'id': 27, 'name': 'Horror'}]",938614
Emilia Pérez,6.511,1835,26000000,16302703,tt20221436,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",974950
The Count of Monte Cristo,7.954,1819,46000000,75360860,tt26446278,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",1084736
The Idea of You,7.333,1807,0,36178,tt9466114,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",843527
Terrifier 3,6.814,1799,2000000,90322103,tt27911000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1034541
Speak No Evil,7.186,1789,15000000,76756109,tt27534307,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1114513
Abigail,6.7,1776,28000000,43015969,tt27489557,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",1111873
It Ends with Us,6.971,1754,25000000,350993761,tt10655524,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1079091
Blink Twice,6.681,1667,20000000,46393906,tt14858658,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",840705
The Ministry of Ungentlemanly Warfare,7.033,1664,60000000,29768915,tt5177120,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",799583
Argylle,6.0,1594,200000000,96221061,tt15009428,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",848538
Immaculate,6.224,1511,9000000,35340015,tt23137390,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1041613
Rebel Ridge,6.997,1461,0,0,tt11301886,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",646097
IF,7.018,1460,110000000,190309707,tt11152168,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",639720
Your Fault,7.132,1454,0,0,tt28510079,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1156593
Atlas,6.704,1454,100000000,0,tt14856980,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",614933
Hit Man,6.794,1434,8800000,5101673,tt20215968,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 80, 'name': 'Crime'}]",974635
Transformers One,8.023,1434,75000000,129408392,tt8864596,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",698687
Despicable Me 4,7.015,2970,100000000,969597394,tt7510222,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}]",519182
Beetlejuice Beetlejuice,6.961,2844,99000000,452000435,tt2049403,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",917496
Moana 2,7.0,2784,150000000,1059242164,tt13622970,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",1241982
Road House,6.9,2757,85000000,0,tt3359350,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",359410
Anora,7.0,2729,6000000,56286295,tt28607951,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1064213
Red One,7.034,2716,250000000,185700759,tt14948432,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",845781
Twisters,6.791,2702,155000000,372262265,tt12584954,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",718821
Joker: Folie à Deux,5.408,2671,190000000,207500287,tt11315808,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",889737
Damsel,6.998,2588,60000000,5000,tt13452446,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",763215
Wicked,6.906,2542,150000000,757961815,tt1262426,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}]",402431
Trap,6.3,2515,30000000,83677281,tt26753003,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1032823
Carry-On,6.889,2477,47000000,0,tt21382296,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",1005331
Flow,8.129,2440,3700000,17660107,tt4772188,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",823219
Mufasa: The Lion King,7.358,2435,200000000,722631756,tt13186482,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}]",762509
