title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year,Winner
#Alive,7.227,1955,6300000,13416285,tt10620868,614696,"['Action', 'Horror', 'Science Fiction']",2020,No
10 Cloverfield Lane,6.994,8359,15000000,110216998,tt1179933,333371,"['Thriller', 'Science Fiction', 'Drama', 'Horror']",2016,No
12 Strong,6.3,3096,35000000,67450815,tt1413492,429351,"['War', 'Drama', 'Action', 'History']",2018,No
13 Hours: The Secret Soldiers of Benghazi,7.269,3789,50000000,69411370,tt4172430,300671,"['War', 'Action', 'History', 'Drama', 'Thriller']",2016,No
1917,7.986,13091,100000000,446064352,tt8579674,530915,"['War', 'History', 'Drama', 'Action']",2019,No
1922,5.937,2838,5000000,2943477,tt6214928,452507,"['Horror', 'Crime', 'Drama']",2017,No
365 Days,7.009,9340,0,9458590,tt10886166,664413,"['Romance', 'Drama']",2020,No
365 Days: This Day,5.93,1783,0,0,tt12996154,829557,"['Romance', 'Drama']",2022,No
47 Meters Down,5.808,2789,5500000,62198461,tt2932536,403119,"['Horror', 'Thriller']",2017,No
6 Underground,6.34,4988,150000000,0,tt8106534,509967,"['Action', 'Comedy', 'Thriller']",2019,No
65,5.964,2679,45000000,60730568,tt12261776,700391,"['Action', 'Adventure', 'Science Fiction']",2023,No
A Complete Unknown,7.111,1249,65000000,138003641,tt11563598,661539,"['Drama', 'Music']",2024,No
A Cure for Wellness,6.34,4044,40000000,26620002,tt4731136,340837,"['Horror', 'Mystery', 'Science Fiction']",2017,No
A Dog's Purpose,7.639,3448,22000000,205000000,tt1753383,381289,"['Adventure', 'Comedy', 'Fantasy', 'Family', 'Drama']",2017,No
A Haunting in Venice,6.585,2642,60000000,121400000,tt22687790,945729,"['Mystery', 'Thriller', 'Crime']",2023,No
A Man Called Otto,7.754,3292,50000000,108961677,tt7405458,937278,"['Comedy', 'Drama']",2022,No
A Monster Calls,7.286,3473,43000000,47309313,tt3416532,258230,"['Fantasy', 'Adventure', 'Family']",2016,No
A Quiet Place,7.396,14890,17000000,340955294,tt6644200,447332,"['Horror', 'Drama', 'Science Fiction']",2018,No
A Quiet Place Part II,7.451,7073,55000000,297372261,tt8332922,520763,"['Science Fiction', 'Thriller', 'Horror']",2021,No
A Quiet Place: Day One,6.684,3018,67000000,261907653,tt13433802,762441,"['Horror', 'Science Fiction', 'Thriller']",2024,No
A Rainy Day in New York,6.486,2320,25000000,23805899,tt7139936,475303,"['Comedy', 'Romance']",2019,No
A Real Pain,6.76,1203,3000000,24856027,tt21823606,1013850,"['Comedy', 'Drama']",2024,No
A Silent Voice: The Movie,8.386,4268,0,30819442,tt5323662,378064,"['Animation', 'Drama', 'Romance']",2016,No
A Simple Favor,6.638,4458,20000000,97644617,tt7040874,484247,"['Thriller', 'Comedy', 'Mystery']",2018,No
A Star Is Born,7.5,11994,36000000,436388866,tt1517451,332562,"['Music', 'Drama', 'Romance']",2018,No
A Whisker Away,7.881,1449,0,0,tt11958344,667520,"['Animation', 'Drama', 'Romance', 'Fantasy']",2020,No
Abigail,6.7,1776,28000000,43015969,tt27489557,1111873,"['Horror', 'Thriller', 'Crime', 'Action', 'Comedy']",2024,No
Ad Astra,6.1,6966,87500000,127461872,tt2935510,419704,"['Science Fiction', 'Drama']",2019,No
