title,genre_ids,vote_average,vote_count,release_year,id
Circle,"[27, 878, 9648, 53]",6.014,2070,2015,335866
The Boy Next Door,[53],4.919,2089,2015,241251
Aloha,"[18, 35, 10749]",5.5,2110,2015,222936
Blackhat,"[80, 53, 28]",5.514,2118,2015,201088
Youth,"[35, 18, 10749]",6.9,2144,2015,310593
Victor Frankenstein,"[18, 878, 53]",5.948,2202,2015,228066
Sinister 2,[27],5.883,2226,2015,283445
Krampus,"[27, 35, 14]",6.192,2304,2015,287903
Solace,"[53, 80, 9648]",6.427,2311,2015,339527
Poltergeist,[27],5.218,2348,2015,243688
Point Break,"[28, 12, 80, 53]",5.955,2379,2015,257088
We Are Your Friends,"[18, 10402, 10749, 35]",6.786,2402,2015,301351
Bone Tomahawk,"[37, 27, 18]",6.875,2413,2015,294963
Irrational Man,"[18, 35]",6.527,2426,2015,282984
Descendants,"[10751, 12, 14, 10770, 10402]",7.149,2444,2015,277217
The SpongeBob Movie: Sponge Out of Water,"[10751, 35, 12, 16, 14]",6.1,2453,2015,228165
Hardcore Henry,"[28, 12, 878]",6.393,2549,2015,325348
Love,"[18, 10749]",6.45,2596,2015,292431
No Escape,"[53, 28]",6.9,2636,2015,192141
Concussion,[18],7.079,2649,2015,321741
Trainwreck,"[35, 10749]",5.797,2656,2015,271718
Me and Earl and the Dying Girl,"[18, 35]",7.532,2676,2015,308369
Mortdecai,"[35, 12]",5.5,2704,2015,210860
Project Almanac,"[878, 53]",6.8,2742,2015,227719
Pan,"[14, 12, 10751, 28]",5.957,2792,2015,266647
Get Hard,[35],6.024,2807,2015,257091
American Ultra,"[28, 35]",6.09,2876,2015,261392
The Little Prince,"[12, 16, 14, 10751]",7.611,2887,2015,309809
Run All Night,"[28, 80, 53]",6.4,2889,2015,241554
Hitman: Agent 47,"[28, 80, 53]",5.886,3176,2015,249070
Brooklyn,"[10749, 18, 36]",7.31,3186,2015,167073
Self/less,"[878, 28, 53]",6.412,3211,2015,238615
The Longest Ride,"[18, 10749]",7.6,3254,2015,228205
The Walk,"[36, 18, 12]",6.995,3297,2015,285783
Daddy's Home,[35],6.292,3321,2015,274167
The Gift,"[53, 9648, 18]",6.695,3372,2015,328425
Knock Knock,"[27, 53]",5.392,3373,2015,263472
Burnt,[18],6.5,3471,2015,295964
Black Mass,"[18, 80, 36]",6.523,3487,2015,261023
Insidious: Chapter 3,"[27, 53]",6.283,3503,2015,280092
The Last Witch Hunter,"[28, 12, 14]",6.003,3735,2015,274854
Carol,"[10749, 18]",7.495,3851,2015,258480
Vacation,"[35, 12]",6.304,3863,2015,296099
Goosebumps,"[12, 27, 35]",6.31,3898,2015,257445
