title,vote_average,vote_count,budget,revenue,imdb_id,genres,id
Circle,6.014,2070,250000,0,tt3118452,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",335866
The Boy Next Door,4.919,2089,4000000,52425855,tt3181822,"[{'id': 53, 'name': 'Thriller'}]",241251
Aloha,5.5,2110,37000000,26250020,tt1243974,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",222936
Blackhat,5.514,2118,70000000,17752940,tt2717822,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",201088
Youth,6.9,2144,13360000,2000000,tt3312830,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",310593
Victor Frankenstein,5.948,2202,40000000,34200000,tt1976009,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",228066
Sinister 2,5.883,2226,10000000,53329150,tt2752772,"[{'id': 27, 'name': 'Horror'}]",283445
Krampus,6.192,2304,15000000,61800000,tt3850590,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",287903
Solace,6.427,2311,0,22586863,tt1291570,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",339527
Poltergeist,5.218,2348,35000000,95682614,tt1029360,"[{'id': 27, 'name': 'Horror'}]",243688
Point Break,5.955,2379,105000000,133782481,tt2058673,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",257088
We Are Your Friends,6.786,2402,6000000,11100000,tt3787590,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",301351
Bone Tomahawk,6.875,2413,1800000,475846,tt2494362,"[{'id': 37, 'name': 'Western'}, {'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]",294963
Irrational Man,6.527,2426,11000000,27391084,tt3715320,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",282984
Descendants,7.149,2444,0,0,tt3440298,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 10402, 'name': 'Music'}]",277217
The SpongeBob Movie: Sponge Out of Water,6.1,2453,74000000,325186032,tt2279373,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",228165
Hardcore Henry,6.393,2549,2000000,16810562,tt3072482,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",325348
Love,6.45,2596,3000000,249083,tt3774694,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",292431
No Escape,6.9,2636,5000000,54400000,tt1781922,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",192141
Concussion,7.079,2649,35000000,50400000,tt3322364,"[{'id': 18, 'name': 'Drama'}]",321741
Trainwreck,5.797,2656,35000000,140795793,tt3152624,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",271718
Me and Earl and the Dying Girl,7.532,2676,0,0,tt2582496,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",308369
Mortdecai,5.5,2704,60000000,47318560,tt3045616,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",210860
Project Almanac,6.8,2742,12000000,33200000,tt2436386,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",227719
Pan,5.957,2792,150000000,128388320,tt3332064,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}]",266647
Get Hard,6.024,2807,40000000,111800000,tt2561572,"[{'id': 35, 'name': 'Comedy'}]",257091
American Ultra,6.09,2876,28000000,27100000,tt3316948,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",261392
The Little Prince,7.611,2887,64000000,97571250,tt1754656,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",309809
Run All Night,6.4,2889,50000000,71561644,tt2199571,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",241554
Hitman: Agent 47,5.886,3176,35000000,81967450,tt2679042,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",249070
Brooklyn,7.31,3186,11000000,62076141,tt2381111,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",167073
Self/less,6.412,3211,26000000,31807156,tt2140379,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",238615
The Longest Ride,7.6,3254,34000000,63013281,tt2726560,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",228205
The Walk,6.995,3297,35000000,61181942,tt3488710,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",285783
Daddy's Home,6.292,3321,50000000,242786137,tt1528854,"[{'id': 35, 'name': 'Comedy'}]",274167
The Gift,6.695,3372,5000000,58978653,tt4178092,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",328425
Knock Knock,5.392,3373,10000000,6341684,tt3605418,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",263472
Burnt,6.5,3471,20000000,36606743,tt2503944,"[{'id': 18, 'name': 'Drama'}]",295964
Black Mass,6.523,3487,53000000,99975678,tt1355683,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 36, 'name': 'History'}]",261023
Insidious: Chapter 3,6.283,3503,10000000,120453155,tt3195644,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",280092
The Last Witch Hunter,6.003,3735,90000000,146936910,tt1618442,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",274854
Carol,7.495,3851,11800000,40272135,tt2402927,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",258480
Vacation,6.304,3863,31000000,104400000,tt1524930,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",296099
Goosebumps,6.31,3898,58000000,158261424,tt1051904,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",257445
Straight Outta Compton,7.783,4079,28000000,201634991,tt1398426,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 36, 'name': 'History'}]",277216
Legend,7.054,4112,25000000,42972994,tt3569230,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",276907
Home,6.789,4125,135000000,368871007,tt2224026,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",228161
Joy,6.551,4205,60000000,101134059,tt2446980,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",274479
