title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year
Aloha,5.5,2110,37000000,26250020,tt1243974,222936,"['Drama', 'Comedy', 'Romance']",2015
American Ultra,6.09,2876,28000000,27100000,tt3316948,261392,"['Action', 'Comedy']",2015
Ant-Man,7.067,20422,130000000,519311965,tt0478970,102899,"['Science Fiction', 'Action', 'Adventure']",2015
Avengers: Age of Ultron,7.271,23855,365000000,1405403694,tt2395427,99861,"['Action', 'Adventure', 'Science Fiction']",2015
Black Mass,6.523,3487,53000000,99975678,tt1355683,261023,"['Drama', 'Crime', 'History']",2015
Blackhat,5.514,2118,70000000,17752940,tt2717822,201088,"['Crime', 'Thriller', 'Action']",2015
Bone Tomahawk,6.875,2413,1800000,475846,tt2494362,294963,"['Western', 'Horror', 'Drama']",2015
Bridge of Spies,7.236,7083,40000000,165478348,tt3682448,296098,"['Thriller', 'Drama']",2015
Brooklyn,7.31,3186,11000000,62076141,tt2381111,167073,"['Romance', 'Drama', 'History']",2015
Burnt,6.5,3471,20000000,36606743,tt2503944,295964,['Drama'],2015
Carol,7.495,3851,11800000,40272135,tt2402927,258480,"['Romance', 'Drama']",2015
Chappie,6.784,8231,49000000,104399548,tt1823672,198184,"['Crime', 'Action', 'Science Fiction']",2015
Cinderella,6.8,7248,95000000,543514353,tt1661199,150689,"['Romance', 'Fantasy', 'Family', 'Drama']",2015
Circle,6.014,2070,250000,0,tt3118452,335866,"['Horror', 'Science Fiction', 'Mystery', 'Thriller']",2015
Concussion,7.079,2649,35000000,50400000,tt3322364,321741,['Drama'],2015
Creed,7.407,7739,37000000,173600000,tt3076658,312221,"['Drama', 'Action']",2015
Crimson Peak,6.66,5112,55000000,74700000,tt2554274,201085,"['Horror', 'Mystery', 'Romance']",2015
Daddy's Home,6.292,3321,50000000,242786137,tt1528854,274167,['Comedy'],2015
Descendants,7.149,2444,0,0,tt3440298,277217,"['Family', 'Adventure', 'Fantasy', 'TV Movie', 'Music']",2015
Everest,6.827,5079,55000000,203427584,tt2719848,253412,"['Adventure', 'Drama', 'History']",2015
Fantastic Four,4.4,6264,120000000,167977596,tt1502712,166424,"['Action', 'Adventure', 'Science Fiction']",2015
Fifty Shades of Grey,5.879,12163,40000000,569651467,tt2322441,216015,"['Drama', 'Romance', 'Thriller']",2015
Focus,6.871,8097,50100000,153962963,tt2381941,256591,"['Romance', 'Comedy', 'Crime']",2015
Furious 7,7.223,11018,190000000,1515400000,tt2820852,168259,"['Action', 'Crime', 'Thriller']",2015
Get Hard,6.024,2807,40000000,111800000,tt2561572,257091,['Comedy'],2015
Goosebumps,6.31,3898,58000000,158261424,tt1051904,257445,"['Adventure', 'Horror', 'Comedy']",2015
Hardcore Henry,6.393,2549,2000000,16810562,tt3072482,325348,"['Action', 'Adventure', 'Science Fiction']",2015
Hitman: Agent 47,5.886,3176,35000000,81967450,tt2679042,249070,"['Action', 'Crime', 'Thriller']",2015
Home,6.789,4125,135000000,368871007,tt2224026,228161,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",2015
Hotel Transylvania 2,6.8,5969,80000000,473200000,tt2510894,159824,"['Animation', 'Comedy', 'Family', 'Fantasy']",2015
In the Heart of the Sea,6.8,4246,100000000,93900000,tt1390411,205775,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']",2015
Inside Out,7.91,22924,175000000,857611174,tt2096673,150540,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",2015
Insidious: Chapter 3,6.283,3503,10000000,120453155,tt3195644,280092,"['Horror', 'Thriller']",2015
Insurgent,6.364,10237,110000000,297002527,tt2908446,262500,"['Action', 'Science Fiction', 'Thriller']",2015
Irrational Man,6.527,2426,11000000,27391084,tt3715320,282984,"['Drama', 'Comedy']",2015
It Follows,6.59,6691,2300000,23374076,tt3235888,270303,"['Horror', 'Mystery']",2015
Joy,6.551,4205,60000000,101134059,tt2446980,274479,"['Drama', 'Comedy']",2015
Jupiter Ascending,5.459,6930,176000000,184000000,tt1617661,76757,"['Science Fiction', 'Fantasy', 'Action']",2015
Jurassic World,6.699,21102,150000000,1671537444,tt0369610,135397,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",2015
Kingsman: The Secret Service,7.6,17390,81000000,414351546,tt2802144,207703,"['Crime', 'Comedy', 'Action', 'Adventure']",2015
Knock Knock,5.392,3373,10000000,6341684,tt3605418,263472,"['Horror', 'Thriller']",2015
Krampus,6.192,2304,15000000,61800000,tt3850590,287903,"['Horror', 'Comedy', 'Fantasy']",2015
Legend,7.054,4112,25000000,42972994,tt3569230,276907,"['Crime', 'Thriller']",2015
Love,6.45,2596,3000000,249083,tt3774694,292431,"['Drama', 'Romance']",2015
Mad Max: Fury Road,7.6,23511,150000000,378858340,tt1392190,76341,"['Action', 'Adventure', 'Science Fiction']",2015
Maze Runner: The Scorch Trials,6.733,10768,61000000,312296056,tt4046784,294254,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",2015
Me and Earl and the Dying Girl,7.532,2676,0,0,tt2582496,308369,"['Drama', 'Comedy']",2015
Minions,6.416,10879,74000000,1159457503,tt2293640,211672,"['Family', 'Animation', 'Adventure', 'Comedy']",2015
